"","hamming","rf","rrf","nniu","rspr","tbr"
"71",9,110,110,377,12,12
"72",7,114,114,393,8,8
"73",10,102,102,345,15,15
"74",1,16,16,18,3,3
"75",1,34,34,91,1,1
"76",10,110,110,377,11,11
"77",3,68,68,211,4,4
"78",4,12,12,10,5,4
"79",9,88,90,291,12,12
"80",9,100,100,337,11,11
"81",2,16,16,18,4,4
"82",4,38,38,105,6,6
"83",1,22,24,52,1,1
"84",8,102,104,345,10,10
"85",3,76,78,213,3,3
"86",5,56,56,159,6,6
"87",1,2,2,1,1,1
"88",10,92,94,305,13,13
"89",3,72,74,227,4,4
"90",2,18,18,19,3,3
"91",8,80,82,259,12,12
"92",4,62,64,134,6,6
"93",9,120,122,415,9,9
"94",9,104,106,353,13,13
"95",7,108,110,362,8,8
"96",7,68,68,183,9,8
"97",8,114,116,393,9,9
"98",9,86,88,283,13,12
"99",1,36,36,98,1,1
"100",7,100,100,294,11,11
"101",7,88,88,291,12,12
"102",3,38,38,105,3,3
"103",4,70,70,219,6,6
"104",5,70,70,212,5,5
"105",9,88,90,284,10,10
"106",4,66,66,203,6,6
"107",5,78,78,244,6,6
"108",6,88,88,291,10,10
"109",5,72,72,227,5,5
"110",2,14,14,13,2,2
"111",1,26,26,62,1,1
"112",3,70,70,219,4,4
"113",4,80,80,198,6,6
"114",7,76,76,243,10,10
"115",9,104,104,353,14,14
"116",5,94,96,313,5,5
"117",8,102,102,338,9,9
"118",2,58,58,170,4,4
"119",9,94,94,306,11,10
"120",3,50,52,134,4,4
"121",0,0,0,0,0,0
"122",3,78,78,251,3,3
"123",5,84,84,230,7,7
"124",10,50,50,139,11,10
"125",1,2,2,1,1,1
"126",2,52,52,152,2,2
"127",5,54,54,138,6,6
"128",8,74,74,235,10,10
"129",3,58,58,139,3,3
"130",2,10,10,8,3,3
"131",7,90,90,269,10,10
"132",10,108,108,369,14,14
"133",1,12,12,12,2,2
"134",8,70,70,219,9,9
"135",6,50,50,133,6,6
"136",7,74,74,235,7,7
"137",8,74,74,186,9,9
"138",3,48,50,138,3,3
"139",9,88,88,284,14,16
"140",9,92,94,305,12,10
"141",8,82,82,267,11,11
"142",5,60,60,176,5,5
"143",2,22,22,48,2,2
"144",7,74,74,235,9,8
"145",3,58,58,127,3,3
"146",5,56,56,159,8,8
"147",6,78,80,244,6,5
"148",1,38,38,105,1,1
"149",2,70,70,219,2,2
"150",3,50,50,139,3,3
"151",8,92,92,254,9,9
"152",3,56,56,164,6,6
"153",10,82,84,254,13,12
"154",9,108,108,369,12,12
"155",3,50,50,145,5,5
"156",1,40,40,112,1,1
"157",1,38,38,105,2,2
"158",10,112,114,378,12,11
"159",7,76,76,243,9,9
"160",10,104,104,353,10,10
"161",2,38,38,72,2,2
"162",5,70,70,189,7,7
"163",3,62,62,177,3,3
"164",4,68,68,211,4,4
"165",2,56,56,164,2,2
"166",1,2,2,1,1,1
"167",7,118,120,408,9,9
"168",7,86,86,283,9,9
"169",3,30,30,64,3,3
"170",4,72,74,227,5,5
"171",9,80,80,185,12,11
"172",4,60,60,146,6,6
"173",7,98,100,329,9,8
"174",2,60,60,176,3,3
"175",9,78,78,244,8,8
"176",4,82,82,267,4,4
"177",4,78,78,251,5,5
"178",3,50,50,101,3,3
"179",3,82,82,267,7,7
"180",9,96,96,321,14,14
"181",8,110,110,377,12,12
"182",6,36,36,86,9,9
"183",6,78,78,215,6,6
"184",4,72,72,188,5,5
"185",8,78,78,238,12,12
"186",8,74,74,235,11,11
"187",2,40,40,112,4,4
"188",2,82,82,267,2,2
